,Predator,Prey
439,Hippoglossoides elassodon,Unidentified tube
440,Hippoglossoides elassodon,Yoldia sp.
441,Hippoglossus stenolepis,Acantholithodes hispidus
442,Hippoglossus stenolepis,Acanthomysis dybowskii
443,Hippoglossus stenolepis,Agonidae
444,Hippoglossus stenolepis,Ammodytes hexapterus
445,Hippoglossus stenolepis,Anomura
446,Hippoglossus stenolepis,Anoplagonus inermis
447,Hippoglossus stenolepis,Anthozoa
448,Hippoglossus stenolepis,Anthozoa
449,Hippoglossus stenolepis,Arcturidae
450,Hippoglossus stenolepis,Argis dentata
451,Hippoglossus stenolepis,Argis levior
452,Hippoglossus stenolepis,Artediellus sp.
453,Hippoglossus stenolepis,Asteroidea
454,Hippoglossus stenolepis,Atheresthes stomias
455,Hippoglossus stenolepis,Aves
456,Hippoglossus stenolepis,Bathymaster signatus
457,Hippoglossus stenolepis,Bivalvia
458,Hippoglossus stenolepis,Boreogadus saida
459,Hippoglossus stenolepis,Buccinum sp.
460,Hippoglossus stenolepis,Cancer oregonensis
461,Hippoglossus stenolepis,Capitellida
462,Hippoglossus stenolepis,Caridea
463,Hippoglossus stenolepis,Caridea
464,Hippoglossus stenolepis,Cephalopoda
465,Hippoglossus stenolepis,Chionoecetes bairdi
466,Hippoglossus stenolepis,Chionoecetes sp.
467,Hippoglossus stenolepis,Clypeasteridae
468,Hippoglossus stenolepis,Cottidae
469,Hippoglossus stenolepis,Crangon alaskensis
470,Hippoglossus stenolepis,Crangon alba
471,Hippoglossus stenolepis,Crangon communis
472,Hippoglossus stenolepis,Crangon dalli
473,Hippoglossus stenolepis,Crangon sp.
474,Hippoglossus stenolepis,Crangonidae
475,Hippoglossus stenolepis,Cyclopteridae
476,Hippoglossus stenolepis,Decapoda
477,Hippoglossus stenolepis,Diastylis sp.
478,Hippoglossus stenolepis,Echiurus echiurus
479,Hippoglossus stenolepis,Elassachirus tenuimanus
480,Hippoglossus stenolepis,Elassochirus cavimanus
481,Hippoglossus stenolepis,Elassochirus sp.
482,Hippoglossus stenolepis,Eualus suckleyi
483,Hippoglossus stenolepis,Fishery discards
484,Hippoglossus stenolepis,Fusitriton oregonensis
485,Hippoglossus stenolepis,Gadidae
486,Hippoglossus stenolepis,Gadus macrocephalus
487,Hippoglossus stenolepis,Gammaridea
488,Hippoglossus stenolepis,Gastropoda
489,Hippoglossus stenolepis,Gonatus magister
490,Hippoglossus stenolepis,Gymnolaemata Cheilostomata
491,Hippoglossus stenolepis,Hemilepidotus jordani
492,Hippoglossus stenolepis,Hemilepidotus sp.
493,Hippoglossus stenolepis,Heptacarpus stylus
494,Hippoglossus stenolepis,Heptacarpus tridens
495,Hippoglossus stenolepis,Hippoglossoides elassodon
496,Hippoglossus stenolepis,Hippoglossus stenolepis
497,Hippoglossus stenolepis,Hippolytidae
498,Hippoglossus stenolepis,Holothuroidea
499,Hippoglossus stenolepis,Hyas lyratus
500,Hippoglossus stenolepis,Hyas sp.
501,Hippoglossus stenolepis,Icelinus borealis
502,Hippoglossus stenolepis,Icelus sp.
503,Hippoglossus stenolepis,Lebbeus grandimanus
504,Hippoglossus stenolepis,Lebbeus groenlandicus
505,Hippoglossus stenolepis,Lepidopsetta sp.
506,Hippoglossus stenolepis,Liparis sp.
507,Hippoglossus stenolepis,Lithodidae
508,Hippoglossus stenolepis,Lopholithodes foraminatus
509,Hippoglossus stenolepis,Lopholithodes mandtii
510,Hippoglossus stenolepis,Lycodes brevipes
511,Hippoglossus stenolepis,Lycodes palearis
512,Hippoglossus stenolepis,Lysianassidae
513,Hippoglossus stenolepis,Majidae
514,Hippoglossus stenolepis,Malacocottus kincaidi
515,Hippoglossus stenolepis,Mallotus villosus
516,Hippoglossus stenolepis,Metacrangon sp.
517,Hippoglossus stenolepis,Microstomus pacificus
518,Hippoglossus stenolepis,Modulus modulus
519,Hippoglossus stenolepis,Mollusca
520,Hippoglossus stenolepis,Munida quadrispina
521,Hippoglossus stenolepis,Mytilidae
522,Hippoglossus stenolepis,Naticidae
523,Hippoglossus stenolepis,No Code
524,Hippoglossus stenolepis,Non-gadoid Fish Remains
525,Hippoglossus stenolepis,Nuculana fossa
526,Hippoglossus stenolepis,Nuculana sp.
527,Hippoglossus stenolepis,Octopoda
528,Hippoglossus stenolepis,Oncorhynchus kisutch
529,Hippoglossus stenolepis,Oncorhynchus sp.
530,Hippoglossus stenolepis,Ophiuroidea
531,Hippoglossus stenolepis,Oregonia gracilis
532,Hippoglossus stenolepis,Osteichthyes Teleostei
533,Hippoglossus stenolepis,Paguridae
534,Hippoglossus stenolepis,Pagurus aleuticus
535,Hippoglossus stenolepis,Pagurus kennerlyi
536,Hippoglossus stenolepis,Pagurus ochotensis
537,Hippoglossus stenolepis,Pagurus rathbuni
538,Hippoglossus stenolepis,Pagurus sp.
539,Hippoglossus stenolepis,Pandalidae
540,Hippoglossus stenolepis,Pandalus borealis
541,Hippoglossus stenolepis,Pandalus montagui tridens
542,Hippoglossus stenolepis,Pandalus sp.
543,Hippoglossus stenolepis,Pandalus stenolepis
544,Hippoglossus stenolepis,Pasiphaeidaea
545,Hippoglossus stenolepis,Phaeophyta
546,Hippoglossus stenolepis,Pholis clemensi
547,Hippoglossus stenolepis,Phyllolithodes papillosus
548,Hippoglossus stenolepis,Pinnixa sp.
549,Hippoglossus stenolepis,Pinnotheridae
550,Hippoglossus stenolepis,Pleuronectes asper
551,Hippoglossus stenolepis,Pleuronectidae
552,Hippoglossus stenolepis,Polychaeta
553,Hippoglossus stenolepis,Polynoidae
554,Hippoglossus stenolepis,Pugettia gracilis
555,Hippoglossus stenolepis,Reptantia
556,Hippoglossus stenolepis,Rhinolithodes wosnessenskii
557,Hippoglossus stenolepis,Rhynocrangon alata
558,Hippoglossus stenolepis,Sarritor frenatus
559,Hippoglossus stenolepis,Scorpaenidae
560,Hippoglossus stenolepis,Sebastes alutus
561,Hippoglossus stenolepis,Spirontocaris arcuata
562,Hippoglossus stenolepis,Spirontocaris lamellicornis
563,Hippoglossus stenolepis,Spirontocaris prionota
564,Hippoglossus stenolepis,Spirontocaris sp.
565,Hippoglossus stenolepis,Stichaeidae
566,Hippoglossus stenolepis,Teuthoidea Myopsida
567,Hippoglossus stenolepis,Thaleichthys pacificus
568,Hippoglossus stenolepis,Theragra chalcogramma
569,Hippoglossus stenolepis,Trichobranchidae
570,Hippoglossus stenolepis,Triglops pingeli
571,Hippoglossus stenolepis,Triglops pingeli
572,Hippoglossus stenolepis,Unidentified algae
573,Hippoglossus stenolepis,Unidentified material
574,Hippoglossus stenolepis,Unidentified worm-like organism
575,Hippoglossus stenolepis,Yoldia sp.
576,Hippoglossus stenolepis,Zaprora silenus
577,Lepidopsetta bilineata,Ampeliscidae
578,Lepidopsetta bilineata,Anthozoa
579,Lepidopsetta bilineata,Bivalvia
580,Lepidopsetta bilineata,Brachiopoda
581,Lepidopsetta bilineata,Calanoida
582,Lepidopsetta bilineata,Caprellidea
583,Lepidopsetta bilineata,Caridea
584,Lepidopsetta bilineata,Chionoecetes sp.
585,Lepidopsetta bilineata,Crangonidae
586,Lepidopsetta bilineata,Cumacea
587,Lepidopsetta bilineata,Decapoda brachyura
588,Lepidopsetta bilineata,Echinoidea
589,Lepidopsetta bilineata,Echiura
590,Lepidopsetta bilineata,Gadus macrocephalus
591,Lepidopsetta bilineata,Gammaridea
592,Lepidopsetta bilineata,Gastropoda
593,Lepidopsetta bilineata,Glyceridae
594,Lepidopsetta bilineata,Hippoglossus stenolepis
595,Lepidopsetta bilineata,Hirudinea
596,Lepidopsetta bilineata,Holothuroidea
597,Lepidopsetta bilineata,Hyas sp.
598,Lepidopsetta bilineata,Hypsagonus quadricornis
599,Lepidopsetta bilineata,Isopoda
600,Lepidopsetta bilineata,Majidae
601,Lepidopsetta bilineata,Maldanidae
602,Lepidopsetta bilineata,No Code
603,Lepidopsetta bilineata,Onuphidae
604,Lepidopsetta bilineata,Opheliidae
605,Lepidopsetta bilineata,Ophiura sarsi
606,Lepidopsetta bilineata,Ophiuroidae Ophiurida
607,Lepidopsetta bilineata,Oregonia sp.
608,Lepidopsetta bilineata,Paguridae
609,Lepidopsetta bilineata,Pectinidae
610,Lepidopsetta bilineata,Pinnotheridae
611,Lepidopsetta bilineata,Pleuronectidae
612,Lepidopsetta bilineata,Polychaeta
613,Lepidopsetta bilineata,Sand dollar
614,Lepidopsetta bilineata,Sebastes sp.
615,Lepidopsetta bilineata,Sipuncula
616,Lepidopsetta bilineata,Unidentified organic material
617,Lepidopsetta bilineata,Urochordata
618,Lepidopsetta polyxystra,Ampeliscidae
